,0
2018-05-18,314762.35
2018-05-17,314919.0
2018-05-16,313709.52
2018-05-15,313263.9
2018-05-14,312680.92
2018-05-11,315453.35
2018-05-10,315723.93
2018-05-08,317465.39
2018-05-07,318451.79
2018-05-04,321065.47
2018-05-03,321980.88
2018-04-28,322006.06
2018-04-27,321573.23
2018-04-26,319343.95
2018-04-25,318942.83
2018-04-24,319590.41
2018-04-23,318123.3
2018-04-20,318374.04
2018-04-19,319269.98
2018-04-18,319626.26
2018-04-17,322439.6
2018-04-16,323400.63
2018-04-13,323780.23
2018-04-12,323892.88
2018-04-11,345425.18
2018-04-10,322961.69
2018-04-09,322878.53
2018-04-06,323162.23
2018-04-05,323902.87
2018-04-04,323979.7
2018-04-03,324775.48
2018-04-02,350078.82
2018-03-30,325131.43
2018-03-29,325459.6
2018-03-28,325205.35
2018-03-27,325059.07
2018-03-26,325051.14
2018-03-23,325183.62
2018-03-22,325147.96
2018-03-21,325196.21
2018-03-20,325063.51
2018-03-19,330261.58
2018-03-16,329883.21
2018-03-15,329353.27
2018-03-14,329446.3
2018-03-13,329224.26
2018-03-12,329230.61
2018-03-07,329391.3
2018-03-06,329218.91
2018-03-05,331642.99
2018-03-02,331630.68
2018-03-01,331581.47
2018-02-28,332038.84
2018-02-27,406938.56
2018-02-26,330870.7
2018-02-22,355917.2
2018-02-21,332248.32
2018-02-20,332299.03
2018-02-19,331879.38
2018-02-16,331823.22
2018-02-15,331882.82
2018-02-14,331953.43
2018-02-13,332051.31
2018-02-12,335851.4
2018-02-09,335583.65
2018-02-08,335511.88
2018-02-07,334771.89
2018-02-06,334712.96
2018-02-05,335333.68
2018-02-02,335713.41
2018-02-01,335771.86
2018-01-31,335587.82
2018-01-30,405681.35
2018-01-29,335677.71
2018-01-26,334423.66
2018-01-25,334815.7
2018-01-24,334514.65
2018-01-23,332659.27
2018-01-22,332462.73
2018-01-19,332837.72
2018-01-18,333363.87
2018-01-17,320189.92
2018-01-16,320240.98
2018-01-15,318741.95
2018-01-12,332349.92
2018-01-11,337156.35
2018-01-10,341946.14
2018-01-09,345399.48
2017-12-29,385862.42
2017-12-28,385107.4
2017-12-27,384161.6
2017-12-26,383679.17
2017-12-25,380556.65
2017-12-22,379205.36
2017-12-21,379088.11
2017-12-20,379329.62
2017-12-19,378391.41
2017-12-18,387060.37
2017-12-15,386537.66
2017-12-14,386247.5
2017-12-13,381970.85
2017-12-12,370534.87
